#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.00000000000073,-37818.33019672019,11149.97922963941,-26668.350967080783,297.15316969443745,0
19.99999999999874,-38283.251838173834,11056.381624259817,-27226.870213914015,295.44643386630287,23.2
29.999999999975433,-38195.2657715794,10993.385583241625,-27201.880188337775,293.679423204261,23.2
40.00000000000897,-37713.493778278375,11383.11420954636,-26330.379568732016,304.12594050002497,23.2
50.000000000056716,-37997.04626226406,11257.6612282384,-26739.38503402566,300.05962678257885,23.2
60.000000000104464,-38379.45161517735,10893.679643692429,-27485.771971484923,291.0180527911096,23.2
70.00000000015221,-38123.588786374276,10933.199763365168,-27190.389023009106,292.1559807892941,23.2
80.00000000019996,-38043.71681922162,10974.565427826677,-27069.151391394942,293.81686707332136,23.2
90.00000000024771,-38214.91136663021,10909.743396647978,-27305.167969982227,291.5734812111694,23.2
100.00000000029546,-38204.86098466759,11423.569778713092,-26781.291205954498,304.8368092068251,23.2
110.0000000003432,-38136.292975339835,11136.233666360675,-27000.05930897916,297.6900703725635,23.2
120.00000000039095,-38052.56935551147,11330.626126462725,-26721.943229048746,302.77569868475877,23.2
130.00000000038185,-38275.05921460094,11299.512745601387,-26975.54646899955,301.5196779326136,23.2
140.00000000014538,-38124.20629185092,11326.19625861163,-26798.01003323929,302.9466978281474,23.2
149.9999999999089,-38329.19025498575,10980.477409030298,-27348.71284595545,293.0012634336217,23.2
159.99999999967244,-37475.75587405689,11067.670406049236,-26408.08546800766,295.44409426642574,23.2
169.99999999943597,-38196.377451079636,10926.527887469767,-27269.849563609867,291.5035640117625,23.2
179.9999999991995,-38485.66098315365,10980.398755114395,-27505.262228039253,293.4215801726001,23.2
189.99999999896303,-38479.00520152478,11098.607089945961,-27380.39811157882,296.3918441113974,23.2
199.99999999872657,-38125.676005638394,11337.454732185164,-26788.22127345323,302.58368971093336,23.2
209.9999999984901,-38000.56560742825,11117.59762627193,-26882.967981156322,297.4362488419069,23.2
219.99999999825363,-37833.401986071105,10921.079395234576,-26912.322590836528,292.33081904637646,23.2
229.99999999801716,-37602.43476142655,11392.861686634345,-26209.573074792206,304.7032833432699,23.2
239.9999999977807,-38386.19923365967,11000.998917350595,-27385.20031630907,294.3995291083056,23.2
