#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.00000000000073,-36039.82682677784,10989.181537961944,-25050.645288815896,293.95652715083895,0
19.99999999999874,-36466.89353303344,11042.827698883855,-25424.065834149587,295.2945277708318,14.9
29.999999999975433,-36905.5267815122,11223.431050529276,-25682.095730982925,299.7207001803479,14.9
40.00000000000897,-36770.44601328581,11053.493887872495,-25716.952125413314,294.124407904375,14.9
50.000000000056716,-36581.196308851104,11051.755100498674,-25529.44120835243,295.1296672206371,14.9
60.000000000104464,-36421.56929039831,11154.27876209451,-25267.290528303798,298.0882203979852,14.9
70.00000000015221,-36788.41411303157,11145.57539452568,-25642.83871850589,297.82277653089596,14.9
80.00000000019996,-36335.60623729145,11155.591901551066,-25180.014335740387,299.0612963572614,14.9
90.00000000024771,-36960.78185351345,11113.293970078503,-25847.487883434947,296.3090642091621,14.9
100.00000000029546,-36034.53670578294,11008.94598878092,-25025.590717002022,294.7398807479215,14.9
110.0000000003432,-36588.223714956584,11394.730764810023,-25193.49295014656,303.88339884490375,14.9
120.00000000039095,-36295.07867778135,10917.710673202539,-25377.36800457881,291.9909687770891,14.9
130.00000000038185,-36687.29399171563,10971.656499782763,-25715.63749193287,292.70618131928063,14.9
140.00000000014538,-36718.42317647263,11128.617780113269,-25589.80539635936,297.0956549165641,14.9
149.9999999999089,-36927.45336032117,10782.040894729369,-26145.4124655918,288.5379325118662,14.9
159.99999999967244,-36396.07968905847,10897.97658531491,-25498.10310374356,291.605000912504,14.9
169.99999999943597,-36489.00136765046,11043.783650642292,-25445.21771700817,295.40929069520917,14.9
179.9999999991995,-36498.82598866438,10900.702636022263,-25598.123352642117,290.40524712027275,14.9
189.99999999896303,-36611.50070214717,11240.03018836924,-25371.47051377793,299.41893826888906,14.9
199.99999999872657,-36955.822646416775,11303.766460815184,-25652.056185601592,301.821271038444,14.9
209.9999999984901,-36629.910116232364,11074.452819114646,-25555.45729711772,295.3476657493614,14.9
219.99999999825363,-36257.05980299753,11119.655849714765,-25137.403953282766,297.2359005399763,14.9
229.99999999801716,-36614.81584050741,11021.215424839736,-25593.60041566767,294.5900586269717,14.9
239.9999999977807,-36707.56175234756,11181.851896723212,-25525.709855624347,299.3160842205146,14.9
249.99999999754422,-36524.37569557708,11326.23145025297,-25198.14424532411,302.4850866982038,14.9
259.9999999973078,-36906.148955459365,10985.702095891835,-25920.446859567528,293.6848802281346,14.9
269.9999999970713,-36517.39065470563,11130.010449429046,-25387.380205276586,295.7966097661756,14.9
279.99999999683484,-36369.82683165991,10953.108951011376,-25416.71788064854,292.0252489682827,14.9
289.9999999965984,-36769.876677920394,11104.963751225707,-25664.912926694687,296.16592521041616,14.9
299.9999999963619,-36510.21653409079,10914.36669811841,-25595.849835972378,292.35520267462226,14.9
309.99999999612544,-36469.70317796978,11135.23303427923,-25334.47014369055,296.52306520920285,14.9
319.99999999588897,-36505.98673891908,11031.515752240122,-25474.470986678956,294.7797098185084,14.9
329.9999999956525,-36403.3025226706,10978.475508585449,-25424.827014085153,293.09775165565117,14.9
339.99999999541603,-36857.69695648954,11264.950254440615,-25592.746702048928,300.2274634334736,14.9
349.99999999517956,-36870.05816441437,11525.68370093878,-25344.374463475586,307.9224834105753,14.9
359.9999999949431,-36316.41013403218,11002.328371723517,-25314.081762308662,293.5105960533659,14.9
369.9999999947066,-36534.36529422385,11270.13784676639,-25264.22744745746,300.89115781624946,14.9
379.99999999447016,-36703.92809649771,10854.973319661935,-25848.954776835773,289.8390005596175,14.9
389.9999999942337,-36642.19309402017,11502.875301610791,-25139.31779240938,306.2477498548554,14.9
399.9999999939972,-36199.08598837586,11371.729938015113,-24827.356050360748,302.9032237021293,14.9
