#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.00000000000073,-36206.09606218995,11261.334569932082,-24944.76149225787,300.82712559007024,0
19.99999999999874,-37015.25102415233,11031.200924540308,-25984.050099612017,294.5153216985972,14.8
29.999999999975433,-37070.56286499179,10820.277352579034,-26250.28551241276,289.1163245019644,14.8
40.00000000000897,-36911.29056707903,11155.605695462551,-25755.684871616475,297.83713128416554,14.8
50.000000000056716,-36484.24227926442,11122.309304997485,-25361.932974266936,297.6032611240887,14.8
60.000000000104464,-36668.77099937431,11263.303442904973,-25405.46755646934,300.94724873585085,14.8
70.00000000015221,-36842.73178268315,10828.649393190295,-26014.082389492854,288.91796895797944,14.8
80.00000000019996,-36754.68241301925,10680.772336545719,-26073.910076473527,285.2893086898597,14.8
90.00000000024771,-36397.71070745235,10835.467439469188,-25562.24326798316,289.09030450640176,14.9
100.00000000029546,-36878.33585792759,10990.341164719772,-25887.994693207816,293.2096014418518,14.9
110.0000000003432,-36303.725222146364,11123.132027123414,-25180.59319502295,296.9456838027632,14.9
120.00000000039095,-36436.76848936728,10753.6258614497,-25683.14262791758,286.52648052681747,14.9
130.00000000038185,-36709.43118892936,11031.624401796198,-25677.806787133162,294.2887425441713,14.9
140.00000000014538,-36861.099957506485,11169.851629373714,-25691.248328132773,298.0941332502402,14.9
149.9999999999089,-37214.51763278092,10865.495427427231,-26349.022205353685,289.72162440277987,14.9
159.99999999967244,-36537.05011505011,10989.531882217267,-25547.51823283284,293.368737486841,14.9
169.99999999943597,-36839.04379761262,11252.868735848904,-25586.175061763715,299.68990658969517,14.9
179.9999999991995,-36672.68712690481,10897.46534097969,-25775.221785925125,290.3314498063159,14.9
189.99999999896303,-36505.713220336555,11063.184043792811,-25442.529176543743,294.5405100491356,14.9
199.99999999872657,-36409.46213523261,11297.370673218029,-25112.091462014578,302.5237255429837,14.9
209.9999999984901,-36655.02572528099,11056.476187156615,-25598.549538124375,294.8888107789957,14.9
219.99999999825363,-36278.12007709921,11121.301579671495,-25156.81849742771,296.70834700806626,14.9
229.99999999801716,-36334.32602949064,11469.041269117053,-24865.28476037359,306.65559708252783,14.9
239.9999999977807,-36119.105080440684,11058.264936473926,-25060.840143966758,294.6701826421853,14.9
249.99999999754422,-36419.47132405094,10972.180676701124,-25447.290647349815,293.5329109845183,14.9
259.9999999973078,-36613.01804348144,11096.46414778459,-25516.55389569685,296.7935280453089,14.9
269.9999999970713,-36623.46925886081,11049.529319011886,-25573.939939848922,295.2926786940493,14.9
279.99999999683484,-36704.43893780363,11309.312283720412,-25395.126654083215,302.28945218459074,14.9
289.9999999965984,-36638.15541241256,11046.268945711101,-25591.88646670146,294.8360386011479,14.9
299.9999999963619,-36630.08847242708,10953.725664127505,-25676.362808299575,293.2697986695215,14.9
309.99999999612544,-36673.49600711669,11128.206971528734,-25545.289035587957,297.5401506243494,14.9
319.99999999588897,-36668.16152137664,10950.32064670145,-25717.840874675192,291.87957030307444,14.9
329.9999999956525,-36464.325081754185,10894.3424225893,-25569.982659164885,290.9569666113464,14.9
339.99999999541603,-36719.45587037895,11057.807938698574,-25661.647931680378,295.0131100881323,14.9
349.99999999517956,-36709.19280310641,10984.992178002236,-25724.200625104175,293.31555109410266,14.9
359.9999999949431,-36663.72327608531,10982.184257902843,-25681.539018182462,293.7753050876928,14.8
369.9999999947066,-36249.69297614835,11133.80234165211,-25115.890634496238,296.8983060060931,14.8
379.99999999447016,-36703.99679662471,11168.304080165533,-25535.69271645918,298.28139185808635,14.8
389.9999999942337,-36938.34949394873,11203.073768348273,-25735.275725600455,299.7521532071067,14.8
399.9999999939972,-36590.99331533585,11045.03055401384,-25545.96276132201,295.4513366848145,14.8
409.99999999376075,-36742.497078061344,11073.71528602286,-25668.781792038484,296.13845493509183,14.8
419.9999999935243,-36259.35663570048,11192.119359446891,-25067.23727625359,299.48730034441576,14.8
429.9999999932878,-36578.78740242161,10955.994817392688,-25622.792585028918,292.4239427950691,14.8
439.99999999305135,-37030.59697451526,11008.201988863111,-26022.39498565215,293.89160758415886,14.8
449.9999999928149,-36464.14386908022,11159.335135692143,-25304.808733388076,298.4636277300758,14.8
459.9999999925784,-36934.33654502319,11082.990962420521,-25851.345582602666,295.44968590653315,14.8
469.99999999234194,-36758.97069271137,11092.46345148497,-25666.507241226405,296.2999749121457,14.8
479.9999999921055,-36733.701828259684,11069.278881375052,-25664.42294688463,296.2985148330296,14.8
489.999999991869,-36164.14830320299,11119.84011099832,-25044.308192204666,296.98164053459124,14.8
499.99999999163254,-36626.07691176688,11051.108729152,-25574.96818261488,295.15896477284605,14.8
509.99999999139607,-36684.07919728341,10925.090122425649,-25758.989074857764,292.6201186588024,14.8
519.9999999911596,-36716.04770146046,11213.452856896076,-25502.594844564388,298.9818127262325,14.8
529.9999999909231,-36612.638548549265,11049.87859162112,-25562.759956928145,295.3685136813455,14.8
539.9999999906867,-36538.843438478674,11013.50046171528,-25525.342976763393,293.5321402314259,14.8
549.9999999904502,-36497.5704890654,11277.838497410834,-25219.731991654568,301.0711262166187,14.8
559.9999999902137,-36599.74239026312,11203.950293188582,-25395.79209707454,299.1175864882744,14.8
569.9999999899773,-36441.64715896398,11126.457342196674,-25315.189816767303,297.96632013619467,14.8
579.9999999897408,-36782.70913937593,11041.840000385238,-25740.869138990696,295.07340098481836,14.8
