#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
10000,  4.9999999999999485,  -34664.220097148376,  10747.557926937772,  -23916.662170210606,  287.4131181656875,  0
20000,  10.00000000000073,  -34720.78794112015,  11183.385869406138,  -23537.402071714012,  299.34955155104404,  158
30000,  15.00000000000684,  -34034.14367042033,  11174.400842360761,  -22859.74282805957,  299.80136293052834,  158
40000,  19.99999999999874,  -34730.49419367203,  11019.189661924363,  -23711.304531747664,  294.17517600692804,  159
50000,  24.999999999987086,  -34676.90390149341,  11119.036806228552,  -23557.867095264857,  297.16065661089203,  158
60000,  29.999999999975433,  -34526.87297021568,  11050.4375454709,  -23476.435424744777,  295.3821892767457,  158
70000,  34.99999999998509,  -34541.27394194157,  11248.813053664455,  -23292.460888277114,  300.34060026319247,  158
80000,  40.00000000000897,  -34336.99681242967,  11093.61169476505,  -23243.38511766462,  297.1376637520453,  158
90000,  45.00000000003284,  -34660.6338956796,  10751.308765309403,  -23909.325130370198,  288.0668133600987,  158
100000,  50.000000000056716,  -34604.8885290969,  11443.107652676297,  -23161.7808764206,  305.85497946169795,  158
110000,  55.00000000008059,  -34827.71173854185,  11246.624442280914,  -23581.08729626094,  300.0904091124953,  158
120000,  60.000000000104464,  -34713.877381280654,  11253.918655067817,  -23459.958726212837,  301.0673399821178,  158
130000,  65.00000000012834,  -34616.255252924675,  11389.830761888701,  -23226.424491035974,  304.87395940126606,  158
140000,  70.00000000015221,  -34363.15761570229,  11005.454604374756,  -23357.703011327532,  293.9103137228948,  158
150000,  75.00000000017609,  -34274.930578762585,  11137.311548460188,  -23137.619030302398,  297.39998110448477,  158
160000,  80.00000000019996,  -34500.62132749231,  11189.56794068676,  -23311.053386805546,  298.80198384547595,  158
170000,  85.00000000022384,  -34311.62913019882,  11270.391344741445,  -23041.23778545737,  300.77181346222943,  158
180000,  90.00000000024771,  -34218.88677264246,  11211.547151855399,  -23007.33962078706,  299.2758330029971,  158
190000,  95.00000000027158,  -34357.68648999746,  10940.7395986067,  -23416.946891390762,  292.017533188574,  158
200000,  100.00000000029546,  -34492.51124211954,  11292.404903443045,  -23200.106338676494,  302.0154685814302,  158
210000,  105.00000000031933,  -34434.28420078839,  11254.002555531166,  -23180.281645257222,  300.311392872134,  158
