# diff_cntr, PMF_Jarzynski_equality, PMF_finite_correction, #ensemble
-39.8 0.119342 0.119342 1
-39.6 0.165018 0.165018 1
-39.4 0.169609 0.169609 1
-39.2 0.167098 0.167098 1
-39 0.318286 0.318286 1
-38.8 0.313540 0.313540 1
-38.6 0.280238 0.280238 1
-38.4 0.269839 0.269839 1
-38.2 0.373483 0.373483 1
-38 0.293462 0.293462 1
-37.8 0.265359 0.265359 1
-37.6 0.282266 0.282266 1
-37.4 0.329021 0.329021 1
-37.2 0.314841 0.314841 1
-37 0.341065 0.341065 1
-36.8 0.247983 0.247983 1
-36.6 0.251590 0.251590 1
-36.4 0.290985 0.290985 1
-36.2 0.239186 0.239186 1
-36 0.358666 0.358666 1
-35.8 0.211813 0.211813 1
-35.6 0.117032 0.117032 1
-35.4 0.205532 0.205532 1
-35.2 0.181973 0.181973 1
-35 0.352608 0.352608 1
-34.8 0.401793 0.401793 1
-34.6 0.373586 0.373586 1
-34.4 0.367901 0.367901 1
-34.2 0.418352 0.418352 1
-34 0.400458 0.400458 1
-33.8 0.512803 0.512803 1
-33.6 0.468262 0.468262 1
-33.4 0.537454 0.537454 1
-33.2 0.545734 0.545734 1
-33 0.395837 0.395837 1
-32.8 0.468645 0.468645 1
-32.6 0.483331 0.483331 1
-32.4 0.532689 0.532689 1
-32.2 0.527044 0.527044 1
-32 0.549963 0.549963 1
-31.8 0.576003 0.576003 1
-31.6 0.598867 0.598867 1
-31.4 0.692699 0.692699 1
-31.2 0.591589 0.591589 1
-31 0.679258 0.679258 1
-30.8 0.605415 0.605415 1
-30.6 0.608109 0.608109 1
-30.4 0.627243 0.627243 1
-30.2 0.600453 0.600453 1
-30 0.438982 0.438982 1
-29.8 0.347337 0.347337 1
-29.6 0.331052 0.331052 1
-29.4 0.302328 0.302328 1
-29.2 0.299686 0.299686 1
-29 0.299098 0.299098 1
-28.8 0.238152 0.238152 1
-28.6 0.253671 0.253671 1
-28.4 0.307929 0.307929 1
-28.2 0.357237 0.357237 1
-28 0.339168 0.339168 1
-27.8 0.359515 0.359515 1
-27.6 0.300508 0.300508 1
-27.4 0.436302 0.436302 1
-27.2 0.413498 0.413498 1
-27 0.405545 0.405545 1
-26.8 0.418558 0.418558 1
-26.6 0.445935 0.445935 1
-26.4 0.239330 0.239330 1
-26.2 0.213291 0.213291 1
-26 0.184121 0.184121 1
-25.8 0.038003 0.038003 1
-25.6 -0.028711 -0.028711 1
-25.4 -0.134267 -0.134267 1
-25.2 -0.288168 -0.288168 1
-25 -0.469660 -0.469660 1
-24.8 -0.772528 -0.772528 1
-24.6 -0.922895 -0.922895 1
-24.4 -0.798798 -0.798798 1
-24.2 -0.970285 -0.970285 1
-24 -1.324901 -1.324901 1
-23.8 -1.863217 -1.863217 1
-23.6 -2.490229 -2.490229 1
-23.4 -2.943838 -2.943838 1
-23.2 -3.418565 -3.418565 1
-23 -3.686172 -3.686172 1
-22.8 -4.204810 -4.204810 1
-22.6 -4.680971 -4.680971 1
-22.4 -5.254391 -5.254391 1
-22.2 -5.241872 -5.241872 1
-22 -5.888321 -5.888321 1
-21.8 -6.439982 -6.439982 1
-21.6 -6.875841 -6.875841 1
-21.4 -6.947554 -6.947554 1
-21.2 -7.392233 -7.392233 1
-21 -7.848752 -7.848752 1
-20.8 -7.958707 -7.958707 1
-20.6 -8.318253 -8.318253 1
-20.4 -8.454012 -8.454012 1
-20.2 -8.235193 -8.235193 1
-20 -8.430443 -8.430443 1
-19.8 -8.374351 -8.374351 1
-19.6 -8.032419 -8.032419 1
-19.4 -7.755179 -7.755179 1
-19.2 -7.214438 -7.214438 1
-19 -6.951651 -6.951651 1
-18.8 -6.820839 -6.820839 1
-18.6 -6.624517 -6.624517 1
-18.4 -6.717014 -6.717014 1
-18.2 -6.447374 -6.447374 1
-18 -6.033148 -6.033148 1
-17.8 -5.680973 -5.680973 1
-17.6 -5.279291 -5.279291 1
-17.4 -5.044442 -5.044442 1
-17.2 -4.554612 -4.554612 1
-17 -4.492762 -4.492762 1
-16.8 -4.275926 -4.275926 1
-16.6 -3.725271 -3.725271 1
-16.4 -3.317636 -3.317636 1
-16.2 -2.577761 -2.577761 1
-16 -1.852976 -1.852976 1
-15.8 -1.032691 -1.032691 1
-15.6 -0.577230 -0.577230 1
-15.4 -0.133776 -0.133776 1
-15.2 0.433899 0.433899 1
-15 1.376942 1.376942 1
-14.8 2.227736 2.227736 1
-14.6 2.762158 2.762158 1
-14.4 3.349534 3.349534 1
-14.2 4.084747 4.084747 1
-14 4.655992 4.655992 1
-13.8 5.168413 5.168413 1
-13.6 5.985035 5.985035 1
-13.4 6.442614 6.442614 1
-13.2 6.819775 6.819775 1
-13 6.741489 6.741489 1
-12.8 6.780290 6.780290 1
-12.6 6.680183 6.680183 1
-12.4 7.228101 7.228101 1
-12.2 7.083063 7.083063 1
-12 7.029842 7.029842 1
-11.8 7.419363 7.419363 1
-11.6 7.585828 7.585828 1
-11.4 6.976276 6.976276 1
-11.2 6.637888 6.637888 1
-11 7.102773 7.102773 1
-10.8 7.510326 7.510326 1
-10.6 7.567407 7.567407 1
-10.4 7.477080 7.477080 1
-10.2 7.233987 7.233987 1
-10 6.870754 6.870754 1
-9.8 6.937316 6.937316 1
-9.6 6.974383 6.974383 1
-9.4 6.673833 6.673833 1
-9.2 6.895806 6.895806 1
-9 6.904306 6.904306 1
-8.8 7.031767 7.031767 1
-8.6 7.182945 7.182945 1
-8.4 7.282986 7.282986 1
-8.2 7.185815 7.185815 1
-8 7.236346 7.236346 1
-7.8 7.059041 7.059041 1
-7.6 7.269661 7.269661 1
-7.4 7.204541 7.204541 1
-7.2 6.778190 6.778190 1
-7 6.800802 6.800802 1
-6.8 6.519518 6.519518 1
-6.6 6.040576 6.040576 1
-6.4 5.804010 5.804010 1
-6.2 5.516944 5.516944 1
-6 5.548677 5.548677 1
-5.8 5.916016 5.916016 1
-5.6 5.982848 5.982848 1
-5.4 6.276302 6.276302 1
-5.2 6.711537 6.711537 1
-5 6.939740 6.939740 1
-4.8 7.120053 7.120053 1
-4.6 6.578836 6.578836 1
-4.4 6.143185 6.143185 1
-4.2 6.175929 6.175929 1
-4 6.094562 6.094562 1
-3.8 6.614205 6.614205 1
-3.6 6.751100 6.751100 1
-3.4 6.737188 6.737188 1
-3.2 6.480821 6.480821 1
-3 6.844280 6.844280 1
-2.8 6.513139 6.513139 1
-2.6 6.490084 6.490084 1
-2.4 6.447013 6.447013 1
-2.2 6.621801 6.621801 1
-2 7.034413 7.034413 1
-1.8 6.976117 6.976117 1
-1.6 7.155260 7.155260 1
-1.4 7.118931 7.118931 1
-1.2 7.274355 7.274355 1
-1 7.510966 7.510966 1
-0.8 7.296766 7.296766 1
-0.6 7.432953 7.432953 1
-0.4 7.662215 7.662215 1
-0.2 7.850460 7.850460 1
0 7.337345 7.337345 1
