#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
200000,  100.00000000029546,  -33930.206049125314,  11210.552602295384,  -22719.65344682993,  298.41350352769905,  0
400000,  199.99999999872657,  -34161.21684865318,  11430.174032051786,  -22731.042816601395,  306.38002722419156,  154
600000,  299.9999999963619,  -34706.52057773742,  11002.032348520464,  -23704.488229216957,  294.4432817414596,  156
800000,  399.9999999939972,  -34268.368472590904,  11258.64971877973,  -23009.718753811176,  301.9733580388791,  156
1000000,  499.99999999163254,  -34042.11425387366,  10889.38246778307,  -23152.73178609059,  291.1359196924606,  156
1200000,  599.9999999892678,  -34328.857962200476,  11101.643817395872,  -23227.214144804602,  295.7946158494566,  156
1400000,  699.9999999869032,  -34436.73309575185,  11148.55396383131,  -23288.17913192054,  298.7835473315934,  156
1600000,  799.9999999845385,  -34840.59125922088,  11141.678288833178,  -23698.912970387697,  297.3482310652349,  155
1800000,  899.9999999821738,  -34260.91082211284,  10644.76605837577,  -23616.144763737073,  284.67490701415204,  155
2000000,  999.9999999798091,  -34504.784101234196,  11323.759138819089,  -23181.024962415107,  302.50158624193284,  155
2200000,  1099.9999999947247,  -34813.86175955969,  11262.974313180996,  -23550.887446378692,  301.37646736449176,  155
2400000,  1200.0000000150974,  -34379.898052233206,  11026.59596697221,  -23353.302085260995,  294.41841973719346,  155
2600000,  1300.00000003547,  -34851.98684655036,  10951.525658349154,  -23900.461188201207,  292.31026493828136,  155
2800000,  1400.0000000558427,  -34597.72683870565,  11068.116277208499,  -23529.610561497146,  295.4415506189299,  156
3000000,  1500.0000000762154,  -34860.3598393301,  11224.57963921204,  -23635.78020011806,  300.8539742251757,  156
3200000,  1600.000000096588,  -34766.95191715896,  11292.20295850518,  -23474.748958653785,  301.84053412351216,  156
3400000,  1700.0000001169608,  -34585.89882341767,  10937.318047315117,  -23648.580776102557,  292.9545094286026,  156
3600000,  1800.0000001373335,  -34440.840127968666,  11168.199045892785,  -23272.641082075883,  299.028296474222,  156
3800000,  1900.0000001577062,  -34375.89161475977,  10897.284495577876,  -23478.607119181892,  292.6696758225945,  156
4000000,  2000.0000001780788,  -34570.33781516528,  11271.004842607426,  -23299.33297255785,  301.283635518019,  156
4200000,  2100.0000001984513,  -34155.25835711909,  11214.040710581086,  -22941.217646538003,  300.19993444077653,  156
4400000,  2200.000000218824,  -34152.376524415515,  11482.285286293785,  -22670.091238121728,  307.4381770993064,  156
4600000,  2300.0000002391967,  -34550.889286913814,  11105.644503149451,  -23445.244783764363,  296.09134301321205,  156
4800000,  2400.0000002595693,  -34509.351363598165,  10965.648640870222,  -23543.702722727943,  292.7628176404136,  156
5000000,  2500.000000279942,  -34391.20947314345,  11127.067505590609,  -23264.141967552838,  297.1449063595963,  156
5200000,  2600.0000003003147,  -34450.73518454331,  11297.321077056826,  -23153.414107486482,  303.0726762325797,  156
5400000,  2700.0000003206874,  -34084.4882306082,  10872.60044007018,  -23211.88779053802,  291.02220962298884,  156
5600000,  2800.00000034106,  -34175.661300933585,  11136.259034729017,  -23039.402266204568,  297.7628199188274,  156
5800000,  2900.0000003614327,  -34077.53983636196,  11235.954782768287,  -22841.585053593673,  300.4973344925857,  156
6000000,  3000.0000003818054,  -34488.24516596789,  11457.13763083423,  -23031.107535133662,  305.77966523124906,  156
6200000,  3100.000000402178,  -34559.743742449995,  11007.40124575467,  -23552.342496695324,  294.75900892961533,  156
6400000,  3200.000000422551,  -34548.01531983083,  11015.314034021912,  -23532.701285808922,  294.4022825258929,  156
6600000,  3300.0000004429235,  -34649.93641777581,  11364.695079687355,  -23285.241338088454,  304.22694048862354,  156
6800000,  3400.000000463296,  -34236.151449042794,  11031.980007121034,  -23204.17144192176,  294.59220100555626,  156
7000000,  3500.000000483669,  -34819.46791912099,  11270.61956356567,  -23548.848355555318,  301.4346836007918,  156
7200000,  3600.0000005040415,  -34743.537834088675,  11389.617679678251,  -23353.92015441042,  304.8133730795457,  156
7400000,  3700.000000524414,  -34351.725066615436,  11079.563297673081,  -23272.161768942355,  295.9161747094442,  156
7600000,  3800.000000544787,  -34631.61423591933,  11274.221173824879,  -23357.393062094452,  302.00032800207225,  156
7800000,  3900.0000005651596,  -34461.67473342709,  11028.005794507466,  -23433.668938919625,  294.9211979147168,  156
8000000,  4000.0000005855322,  -34972.99945763442,  10798.723817282673,  -24174.275640351745,  288.4618335012291,  156
8200000,  4100.0000006059045,  -33928.34599470963,  10995.763021457675,  -22932.582973251952,  294.36752964794937,  156
8400000,  4200.000000626277,  -34090.63585467559,  11403.45198724563,  -22687.183867429958,  304.44620106999105,  156
8600000,  4300.00000064665,  -34219.977384592945,  11296.710874649636,  -22923.266509943307,  302.9056118188433,  156
8800000,  4400.0000006670225,  -34533.30034503656,  11191.657406331798,  -23341.64293870476,  299.0927564006175,  156
9000000,  4500.000000687395,  -34265.11050659774,  11573.299723420507,  -22691.810783177232,  308.7919805092349,  156
9200000,  4600.000000707768,  -34579.73203037254,  11401.027688837807,  -23178.704341534736,  303.81910173910916,  156
9400000,  4700.000000728141,  -34476.20376187888,  11253.311476888715,  -23222.892284990165,  300.4199865751858,  156
9600000,  4800.000000748513,  -34437.048255201196,  11087.443938815424,  -23349.604316385772,  295.8484927532784,  156
9800000,  4900.000000768886,  -34785.231927519286,  11523.216032345465,  -23262.01589517382,  307.58495859418184,  156
10000000,  5000.000000789259,  -34486.396453486625,  11105.798665953964,  -23380.59778753266,  296.5551805277931,  156
10200000,  5100.000000809631,  -34539.47954775094,  10832.123338855214,  -23707.356208895726,  289.51823152183636,  156
10400000,  5200.000000830004,  -34551.60410629015,  11071.180031914057,  -23480.424074376093,  295.4862718678438,  156
10600000,  5300.000000850377,  -34455.70779551252,  10878.410369914329,  -23577.29742559819,  290.49601320847256,  156
10800000,  5400.000000870749,  -34855.504789874416,  10934.524590226289,  -23920.980199648126,  291.53325524603156,  156
11000000,  5500.000000891122,  -34424.88499542914,  10988.766793002535,  -23436.11820242661,  294.36232886026926,  156
11200000,  5600.000000911495,  -34361.16791497544,  10904.322789414344,  -23456.8451255611,  291.39652977510787,  156
11400000,  5700.000000931867,  -34146.05818197795,  11095.091134243434,  -23050.967047734513,  296.70994732393973,  156
11600000,  5800.00000095224,  -34467.37974679101,  10969.204876426691,  -23498.17487036432,  292.7268409258445,  156
11800000,  5900.000000972613,  -34532.8647859541,  10857.33811474583,  -23675.526671208274,  290.8480456843871,  156
12000000,  6000.000000992985,  -34693.552606328965,  11143.04323201777,  -23550.509374311194,  297.66964274408565,  156
12200000,  6100.000001013358,  -34302.361655446875,  11081.097690820598,  -23221.263964626276,  297.12227210563503,  156
12400000,  6200.000001033731,  -34436.947118959695,  11029.399344856405,  -23407.54777410329,  295.2976559028348,  156
12600000,  6300.000001054103,  -34920.932471350425,  11061.945711128508,  -23858.986760221916,  295.2008445088214,  156
12800000,  6400.000001074476,  -34380.105044701064,  11181.792640861002,  -23198.312403840064,  298.46663201824657,  156
13000000,  6500.000001094849,  -34394.83010260348,  11300.578175015598,  -23094.251927587884,  302.22361964451267,  156
13200000,  6600.0000011152215,  -34447.44654476911,  11119.528686380923,  -23327.917858388188,  298.6392827919873,  156
13400000,  6700.000001135594,  -34506.42182334177,  10966.172884459158,  -23540.248938882614,  293.6623025333369,  156
13600000,  6800.000001155967,  -34509.95138543513,  11205.389899482023,  -23304.56148595311,  298.4697107481413,  156
